ID# ; Time ; State of Charge (BMS)/% ; Available Charge Power/kW ; Available Disharge Power/kW ; Battery Current/A ; Battery Voltage/V ; Battery Max Temp/°C ; Battery Min Temp/°C ; Battery Module 1 Temp/°C ; Battery Module 2 Temp/°C ; Battery Module 3 Temp/°C ; Battery Module 4 Temp/°C ; Battery Module 5 Temp/°C ; Battery Inlet Temp/°C ; Max Cell Voltage/V ; Max Cell Voltage No. ; Min Cell Voltage/V ; Min Cell Voltage No. ; Fan Status ; Fan Feedback Signal ; Auxiliary Battery Voltage/V ; Cumulative Charge Current/Ah ; Cumulative Disharge Current/Ah ; Cumulative Charge Power/kWh ; Cumulative Disharge Power/kWh ; Cumulative Operating Time/Days ; Inverter Capacitor Voltage/V ; Drive Motor Speed 1/RPM ; Drive Motor Speed 2/RPM ; Isolation Resistance/kOhms; BCV1 ; BCV2 ; BCV3 ; BCV4; BCV5; BCV6; BCV7; BCV8; BCV9; BCV10; BCV11; BCV12; BCV13; BCV14; BCV15; BCV16; BCV17; BCV18; BCV19; BCV20; BCV21; BCV22; BCV23; BCV24; BCV25; BCV26; BCV27; BCV28; BCV29; BCV30; BCV31; BCV32; BCV33; BCV34; BCV35; BCV36; BCV37; BCV38; BCV39; BCV40; BCV41; BCV42; BCV43; BCV44; BCV45; BCV46; BCV47; BCV48; BCV49; BCV50; BCV51; BCV52; BCV53; BCV54; BCV55; BCV56; BCV57; BCV58; BCV59; BCV60; BCV61; BCV62; BCV63; BCV64; BCV65; BCV66; BCV67; BCV68; BCV69; BCV70; BCV71; BCV72; BCV73; BCV74; BCV75; BCV76; BCV77; BCV78; BCV79; BCV80; BCV81; BCV82; BCV83; BCV84; BCV85; BCV86; BCV87; BCV88; BCV89; BCV90; BCV91; BCV92; BCV93; BCV94; BCV95; BCV96; Battery Module 6 Temp/°C; Battery Max Temp 2 /°C; Battery Min Temp 2 /°C; Battery Module 7 Temp/°C; Battery Module 8 Temp/°C; Battery Module 9 Temp/°C;Battery Module 10 Temp/°C; Available Charge Power2 /kW; Available Disharge Power2 /kW ; Cell Voltage Deviation; QCNS; Airbag H/wire Duty/%; Battery Heater 1 Temp/°C; Battery Heater 2 Temp/°C; State of Health (SOH)/%; Max Deterioration Cell no. ; Min Dererioration/%; Min Deterioration Cell no.; State of Chage (SOC) Display/%
0;2020-10-29 05:17:46;76.0;98.0;98.0;2.5;375.0;30;29;30;29;30;31;29;31;3.9;15;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
1;2020-10-29 05:17:57;76.0;98.0;98.0;2.5;375.0;30;29;30;29;30;30;29;31;3.9;15;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
2;2020-10-29 05:18:08;76.0;98.0;98.0;2.5;375.0;30;29;30;29;30;31;29;31;3.9;15;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
3;2020-10-29 05:18:19;76.0;98.0;98.0;2.3;375.0;30;29;30;29;30;31;29;31;3.9;71;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
4;2020-10-29 05:18:30;76.0;98.0;98.0;2.4;375.0;30;29;30;29;30;30;29;31;3.9;73;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
5;2020-10-29 05:18:41;76.0;98.0;98.0;2.2;375.0;30;29;30;29;30;31;29;31;3.9;78;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
6;2020-10-29 05:18:52;76.0;98.0;98.0;2.4;375.0;30;29;30;30;30;31;29;31;3.9;15;3.9;1;0;0;14.3;11336.0;11310.4;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
7;2020-10-29 05:19:03;76.0;98.0;98.0;2.2;375.0;30;29;30;29;30;31;29;31;3.9;15;3.9;1;0;0;14.3;11336.0;11310.5;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
8;2020-10-29 05:19:15;76.0;98.0;98.0;2.3;375.0;30;29;30;30;30;31;29;31;3.9;73;3.9;1;0;0;14.3;11336.0;11310.5;4139.6;4064.1;91.49;375;0;0;1000;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;30;30;29;30;98.0;98.0;0;1;80;0;0;100.0;46;100.0;1;79.5;
9;2020-10-29 05:19:26;76.0;98.0;98.0;2.2;375.0;30;29;30;30;30;31;29;31;3.9;15;3.9;1;0;0;14.3;11336.0;11310.5;4139.6;4064.1;91.49;375;0;0;1000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;29;29;29;31;30;29;30;98.0;98.0;0;1;75;0;0;100.0;46;100.0;1;79.5;
